Municipality,Year,Value
Santa Marta de Penaguião,2010,9.0
Valpaços,2010,49.0
Vila Pouca de Aguiar,2010,32.0
Vila Real,2010,103.0
Armamar,2010,8.0
Carregal do Sal,2010,15.0
Castro Daire,2010,8.0
Cinfães,2010,44.0
Lamego,2010,54.0
Mangualde,2010,21.0
Moimenta da Beira,2010,15.0
Mortágua,2010,9.0
Nelas,2010,15.0
Oliveira de Frades,2010,4.0
Penalva do Castelo,2010,7.0
Penedono,2010,8.0
Resende,2010,21.0
Santa Comba Dão,2010,19.0
São João da Pesqueira,2010,13.0
São Pedro do Sul,2010,35.0
Sátão,2010,20.0
Sernancelhe,2010,11.0
Tabuaço,2010,9.0
Tarouca,2010,14.0
Tondela,2010,47.0
Vila Nova de Paiva,2010,10.0
Viseu,2010,237.0
Vouzela,2010,18.0
Calheta (Madeira),2010,13.0
Câmara de Lobos,2010,71.0
Funchal,2010,329.0
Machico,2010,47.0
Ponta do Sol,2010,15.0
Porto Moniz,2010,12.0
Porto Santo,2010,15.0
Ribeira Brava,2010,38.0
São Vicente,2010,10.0
Santa Cruz,2010,57.0
Santana,2010,30.0
Angra do Heroísmo,2010,102.0
Calheta (Açores),2010,8.0
Corvo,2010,1.0
Horta,2010,67.0
Lagoa (Açores),2010,113.0
Lajes das Flores,2010,4.0
Lajes do Pico,2010,8.0
Madalena,2010,20.0
Nordeste,2010,7.0
Ponta Delgada,2010,355.0
Povoação,2010,25.0
Ribeira Grande,2010,104.0
São Roque do Pico,2010,17.0
Santa Cruz  Graciosa (R.A.A),2010,10.0
Santa Cruz das Flores,2010,5.0
Velas (R.A.A.),2010,1.0
Vila Praia da Vitória,2010,69.0
Vila do Porto,2010,8.0
Vila Franca do Campo,2010,47.0
Águeda,2011,70.0
Albergaria-a-Velha,2011,47.0
Anadia,2011,27.0
Arouca,2011,18.0
Aveiro,2011,193.0
Castelo de Paiva,2011,33.0
Espinho,2011,88.0
Estarreja,2011,92.0
Santa Maria da Feira,2011,279.0
Ílhavo,2011,69.0
Mealhada,2011,28.0
Murtosa,2011,34.0
Oliveira de Azeméis,2011,127.0
Oliveira do Bairro,2011,28.0
Ovar,2011,162.0
São João da Madeira,2011,81.0
